# FM Towns 대사 중 DOS 번역에 없는 것들
# Format: NPC번호|FM Towns 영어 원문|<번역 필요>
# 총 803개
#===================================================================

2|resc,dams|<번역 필요>
2|eage,grat,know,mean|<번역 필요>
2|find,grai|<번역 필요>
2|lord,brit,banq|<번역 필요>
2|garg,inva|<번역 필요>
3|wood,expl|<번역 필요>
3|deep,fore|<번역 필요>
3|lord,brit|<번역 필요>
4|gath,pool|<번역 필요>
4|spli,shar|<번역 필요>
4|hut,home,smit,clue|<번역 필요>
4|appr,shop,cros|<번역 필요>
4|wife,gwen|<번역 필요>
4|fras,foll|<번역 필요>
4|arti,guil,musi|<번역 필요>
4|mr,nose,nibs|<번역 필요>
4|Npc #1.\n*|<번역 필요>
4|#2. $Y|<번역 필요>
5|heav,burd,trou,time|<번역 필요>
5|moon,gate,ston,blac,orb|<번역 필요>
5|mant,rune|<번역 필요>
5|mous,sher|<번역 필요>
5|wiza,oz,book|<번역 필요>
5|bedt,stor|<번역 필요>
5|favo,hube,lion|<번역 필요>
5|mr,nose|<번역 필요>
6|Nystul|<번역 필요>
7|Geoffrey|<번역 필요>
8|were,cat,wine,cell,youn|<번역 필요>
8|lord,brit|<번역 필요>
8|rune,mant,comp|<번역 필요>
9|squi,nitt,fibl|<번역 필요>
9|cat,meow,boo|<번역 필요>
9|lord,brit|<번역 필요>
9|bed,stor,nigh|<번역 필요>
9|hube,lion|<번역 필요>
9|help,rune,mous,hole,join|<번역 필요>
9|kerc,bles,gesh,snee,dust|<번역 필요>
9|lord,brit|<번역 필요>
9|bed,stor,nigh|<번역 필요>
9|hube,lion|<번역 필요>
10|pran,danc|<번역 필요>
10|lord,brit|<번역 필요>
10|mr,nose|<번역 필요>
10|ques,ches|<번역 필요>
10|teac,prea|<번역 필요>
10|mint,worl,spee,lurc,alco,word,absu,done|<번역 필요>
11|job,teac,lear|<번역 필요>
11|perf,impr,compo,conc|<번역 필요>
11|nan,spid|<번역 필요>
11|aria,swee,chil|<번역 필요>
11|song,music|<번역 필요>
12|play,worr,lute,musi|<번역 필요>
12|spid,nest,craw,hund|<번역 필요>
13|song,music,play,harp|<번역 필요>
15|king,way|<번역 필요>
15|job,work|<번역 필요>
16|arro,bolt|<번역 필요>
17|room,inn|<번역 필요>
19|sing,job,love,dove|<번역 필요>
19|rhym,shor|<번역 필요>
19|song,sea|<번역 필요>
20|clot,loom|<번역 필요>
20|lord,brit,old,book|<번역 필요>
20|wiza,oz|<번역 필요>
20|silk,bag|<번역 필요>
21|open,busi,sort|<번역 필요>
21|eigh,citi,gave|<번역 필요>
21|lord,brit|<번역 필요>
23|rufu,red|<번역 필요>
23|bye,noth|<번역 필요>
24|tend,orch|<번역 필요>
24|prov,fres,frui,banq,stop,year,king,dual,univ,expr,conc,colo|<번역 필요>
24|lord,brit|<번역 필요>
24|home,orph|<번역 필요>
24|pare,kill,eart|<번역 필요>
24|fear,desi|<번역 필요>
24|snoo,slee,obli|<번역 필요>
24|wak,worl|<번역 필요>
24|answ,prob|<번역 필요>
26|bye,no|<번역 필요>
27|ed,smit,talk|<번역 필요>
30|copp,penc,silv,piec|<번역 필요>
30|mint,offi,coin,made|<번역 필요>
30|exch,trad|<번역 필요>
30|gold,nugg,crow|<번역 필요>
30|code,lord|<번역 필요>
31|glov,bird|<번역 필요>
31|lord,brit|<번역 필요>
31|job,appo,posi|<번역 필요>
31|roya,muse|<번역 필요>
31|proj,fund,bett,life|<번역 필요>
31|cons,shar,buil|<번역 필요>
31|musi,drif,hear|<번역 필요>
31|road,real,netw|<번역 필요>
31|cura,odd|<번역 필요>
31|exhi,inte|<번역 필요>
31|bone,zog|<번역 필요>
31|drag,head,wing,egg|<번역 필요>
31|gert,frei|<번역 필요>
31|myst,foun|<번역 필요>
31|perp,moti,mach,gear|<번역 필요>
31|ener,fiel,nois,crac|<번역 필요>
31|libr,lyca|<번역 필요>
32|once,boar,hunt|<번역 필요>
32|pres,gift,roas,like|<번역 필요>
32|secr,fami,reci|<번역 필요>
32|gues,dine|<번역 필요>
32|spen,even,fire,invi|<번역 필요>
32|kitc,plac,roma,trav,wish,join,warr|<번역 필요>
32|lord,brit|<번역 필요>
32|pepp,stew|<번역 필요>
32|vari,life,frie,hear,adve,peop,happ|<번역 필요>
33|!Mariah|<번역 필요>
33|coun,wiza|<번역 필요>
33|eat,slee|<번역 필요>
33|dwel,apar,real,sens|<번역 필요>
33|libr,stud|<번역 필요>
33|half,tabl,anci,silv,deci|<번역 필요>
34|blue,star|<번역 필요>
34|stud,magi|<번역 필요>
34|help,find,book|<번역 필요>
34|begi,guid,dewe,deci,syst|<번역 필요>
35|#Ephemerides|<번역 필요>
35|buy,sex|<번역 필요>
35|tida,pred,fiel|<번역 필요>
35|sosa,felu,tram,moon,sosa|<번역 필요>
35|vort,lens,conc|<번역 필요>
35|fly,mach|<번역 필요>
37|%Dargoth|<번역 필요>
37|bye,no|<번역 필요>
39|blue,bott,merr|<번역 필요>
39|drin,sing,reve,tell,tale,tave|<번역 필요>
39|dagg,isle|<번역 필요>
39|rune,care|<번역 필요>
40|(Manrel|<번역 필요>
40|alch,dabb|<번역 필요>
40|red,mead|<번역 필요>
40|blue,bott|<번역 필요>
40|fras,foll|<번역 필요>
40|tatt,code,symb|<번역 필요>
40|beyv,lock,key,door,cryp|<번역 필요>
41|)Penumbra|<번역 필요>
41|fort,tell|<번역 필요>
41|fore,futu|<번역 필요>
42|*Derydlus|<번역 필요>
42|subt,disc,fras,foll|<번역 필요>
43|+Zellivan|<번역 필요>
43|tour,no,man,noma|<번역 필요>
43|song,tale,figh|<번역 필요>
43|valo,vict|<번역 필요>
43|arms,armo|<번역 필요>
43|swor,keg,pub|<번역 필요>
43|eart,quak|<번역 필요>
43|pier,ship,harb|<번역 필요>
43|lord,brit|<번역 필요>
44|,Nomaan|<번역 필요>
44|gone,tale|<번역 필요>
45|-Stelnar|<번역 필요>
45|sham,rang|<번역 필요>
45|mons,slay|<번역 필요>
45|blig,spir,wisp|<번역 필요>
45|sin,vraa,'vra|<번역 필요>
45|daem,demo|<번역 필요>
45|lord,brit,virt|<번역 필요>
45|dry,land|<번역 필요>
45|shri,dese|<번역 필요>
46|.Van Kellian|<번역 필요>
46|sing,song|<번역 필요>
46|prid,begg,mul|<번역 필요>
46|stel,star|<번역 필요>
46|sin,vraa,'vra|<번역 필요>
46|valo,comp|<번역 필요>
47|/Heftimus|<번역 필요>
47|hook,foug,stru,hand,swor|<번역 필요>
47|capt,hawk|<번역 필요>
47|bucc,den|<번역 필요>
48|0Lyssandra|<번역 필요>
48|swor,keg,drin,orde|<번역 필요>
48|job,mug|<번역 필요>
48|figh,braw|<번역 필요>
48|rat,mous|<번역 필요>
48|idea,list|<번역 필요>
48|what,you,how|<번역 필요>
49|1Culham|<번역 필요>
49|old,magi,haun|<번역 필요>
49|chee,mant|<번역 필요>
49|sing,song|<번역 필요>
49|gyps,hear,tell,tale,stor|<번역 필요>
49|play,tune|<번역 필요>
49|rune,mous,rat,naug,noma|<번역 필요>
50|2Jerris|<번역 필요>
50|veri,mead,isle,mug|<번역 필요>
50|zell,stal,guar|<번역 필요>
50|mous,rat|<번역 필요>
50|hole,rune|<번역 필요>
50|sing,song,refr|<번역 필요>
51|3Arvin|<번역 필요>
51|no,bye|<번역 필요>
52|4Martin|<번역 필요>
53|sail,fath|<번역 필요>
54|war,alon|<번역 필요>
54|buy,wood,log,yew|<번역 필요>
55|7Le_nard|<번역 필요>
55|sell,thre|<번역 필요>
55|buy,tail|<번역 필요>
55|ball,plan,silk,bag|<번역 필요>
56|8Andrea|<번역 필요>
57|9Utomo|<번역 필요>
57|utom,isla|<번역 필요>
57|fan,magi|<번역 필요>
57|from,home|<번역 필요>
57|big,ship|<번역 필요>
57|burn,evil,man|<번역 필요>
57|girl,back|<번역 필요>
59|;Lenora|<번역 필요>
59|wood,log|<번역 필요>
59|thie,caug,wher|<번역 필요>
59|lett,perm|<번역 필요>
59|rele,deal,let,free,trad,swap,allo,go,out|<번역 필요>
59|kid,chil,fami,feed|<번역 필요>
59|ench,nico|<번역 필요>
60|<Boskin|<번역 필요>
60|grav,rob,crim,stol,out|<번역 필요>
60|kids,fami,feed,farm,hars,out,here|<번역 필요>
60|true,trut|<번역 필요>
60|know,lie,lyin,fals,fool|<번역 필요>
60|rele,let,free,go,allo,set,home|<번역 필요>
61|=Pridgarm|<번역 필요>
61|thie,robb|<번역 필요>
61|lock,see,meet,talk,soli,ther|<번역 필요>
61|key,your,give,plea|<번역 필요>
61|perm,impo,ques,avat,lett,lady,must,need|<번역 필요>
61|brib,mone,pay,give|<번역 필요>
61|rune,fami,free,feed,kids,rele,deal,go,allo,trad,brok,grav,lord|<번역 필요>
61|The jailer nods.|<번역 필요>
62|>Jaana|<번역 필요>
62|ench,nico|<번역 필요>
63|?Isabella|<번역 필요>
63|well,know,thro,land|<번역 필요>
63|wood,pain,port|<번역 필요>
63|die,flu|<번역 필요>
63|city,mino,reno,craf|<번역 필요>
63|arti,guil|<번역 필요>
63|busy,less|<번역 필요>
63|heal,tara|<번역 필요>
63|ball,fly,airs,ligh|<번역 필요>
63|impo,miss|<번역 필요>
64|selg,hist|<번역 필요>
64|seek,crys|<번역 필요>
64|impo,busi|<번역 필요>
64|loan,memb,guil,arti,join|<번역 필요>
64|pan,pipe,ston|<번역 필요>
64|lute,inst|<번역 필요>
64|sute,cast,flew|<번역 필요>
64|678987,8767653|<번역 필요>
65|mant,sacr|<번역 필요>
65|bye,no|<번역 필요>
66|BGwenno|<번역 필요>
66|arti,guil|<번역 필요>
66|join,help,ques|<번역 필요>
66|folk,song|<번역 필요>
66|heri,pape,trad,futu,gene|<번역 필요>
66|appr,bow|<번역 필요>
66|blue,boar|<번역 필요>
66|~L15"It's a lively place."~P15|<번역 필요>
66|nume,nota,tran|<번역 필요>
66|play,tune|<번역 필요>
66|lear,ston|<번역 필요>
66|~L21"In the standard numerical notation, it reads '678987 +64|<번역 필요>
66|678987+8767653'."~P21|<번역 필요>
67|CJulia|<번역 필요>
67|~L3"Aye, so the great Avatar deigns to return."~P3|<번역 필요>
67|pan,pipe|<번역 필요>
67|yew,boar|<번역 필요>
67|fres,cut|<번역 필요>
67|life,adve|<번역 필요>
68|DMichelle|<번역 필요>
68|fath,ball|<번역 필요>
69|EAaron|<번역 필요>
69|boar,log|<번역 필요>
70|crys,lens,tele|<번역 필요>
71|GJames|<번역 필요>
72|HTrebor|<번역 필요>
73|cloc,move,part,compl,inte|<번역 필요>
73|puls,civi|<번역 필요>
73|tick,soun|<번역 필요>
73|moon,star|<번역 필요>
73|mode,syst,desi,gear|<번역 필요>
73|piec,ches,boar|<번역 필요>
74|JDoris|<번역 필요>
74|hey,you|<번역 필요>
74|rest,inn,room|<번역 필요>
74|book,read,lyca|<번역 필요>
74|wise,mage,brit,powe,spel,grea|<번역 필요>
75|KSandy|<번역 필요>
75|fish,wine,sauc|<번역 필요>
75|four,said,much,alre|<번역 필요>
75|map,lord,whit|<번역 필요>
75|map,pira|<번역 필요>
75|pie,magi,past|<번역 필요>
75|favo,firs|<번역 필요>
76|LWhitsaber|<번역 필요>
76|trin,town,hono|<번역 필요>
76|map,ship,hawk,capt,home|<번역 필요>
76|sand,alas,gord,firs,mate|<번역 필요>
77|MLawrence|<번역 필요>
77|no,bye|<번역 필요>
78|NHarold|<번역 필요>
78|buy,hors,shoe|<번역 필요>
79|now,supp|<번역 필요>
79|bye,noth|<번역 필요>
80|PImmanuelle|<번역 필요>
80|some,else|<번역 필요>
80|sell,hors|<번역 필요>
81|QTobatha|<번역 필요>
81|resu,rais|<번역 필요>
81|maam,ma'a|<번역 필요>
