# Item descriptions - Korean translation
# Format: INDEX|ENGLISH|KOREAN

0|Nothing|아무것도 없음
2|grass|잔디
4|swamp|늪
6|shrub|관목
8|bush|덤불
10|water|물
12|shore|해안
14|tree|나무
16|grass|잔디
18|tree|나무
20|dead tree|죽은 나무
22|scrub|덤불
24|shrub|관목
26|earth|흙
28|embankment|둑
30|earth|흙
32|mountain|산
34|snowcaps|눈덮인 봉우리
36|wall|벽
38|field|들판
40|crops|농작물
42|arrow slit|화살 구멍
44|window|창문
46|crenellation|흉벽
48|window|창문
51|wall|벽
53|floor|바닥
55|wet earth|젖은 흙
57|puddle|물웅덩이
59|pool|연못
61|floor|바닥
63|lava|용암
65|pyramid|피라미드
67|earthen wall|흙벽
69|ethereal void|에테르 공간
73|wall|벽
75|lightsource|광원
76|force field|역장
78|moonstone|문스톤
80|sling stone|투석돌
81|moonstone|문스톤
83|leather helm|가죽 투구
84|chain coif|사슬 두건
85|iron helm|철 투구
86|spiked helm|가시 투구
87|winged helm|날개 투구
88|brass helm|황동 투구
89|Gargoyle Helm|가고일 투구
90|magic helm|마법 투구
91|wooden shield|나무 방패
92|curved heater|곡면 방패
93|winged shield|날개 방패
94|kite shield|카이트 방패
95|spiked shield|가시 방패
96|black shield|검은 방패
97|door shield|문 방패
98|magic shield|마법 방패
99|cloth armour|천 갑옷
100|leather armor|가죽 갑옷
101|ring mail|링 메일
102|scale mail|스케일 메일
103|chain mail|사슬 갑옷
104|plate mail|판금 갑옷
105|magic armour|마법 갑옷
106|spiked collar|가시 목걸이
107|guild belt|길드 벨트
108|Gargoyle Belt|가고일 벨트
109|leather boots|가죽 장화
110|swamp boots|늪지 장화
111|earth|흙
112|floor|바닥
113|sling|투석기
114|club|곤봉
115|main gauche|마인 고슈
116|spear|창
117|throwing axe|투척 도끼
118|dagger|단검
119|mace|철퇴
120|morning star|모닝스타
121|bow|활
122|crossbow|석궁
123|sword|검
124|two-handed hammer|양손 망치
125|two-handed axe|양손 도끼
126|two-handed sword|양손 검
127|halberd|미늘창
128|glass sword|유리 검
129|boomerang|부메랑
130|triple crossbow|삼중 석궁
131|force field|역장
132|wizard eye|마법사의 눈
133|web|거미줄
134|magic bow|마법 활
135|arrows|화살
136|bolts|볼트
137|spellbook|마법서
138|spell|주문
139|Codex|코덱스
140|Book of Prophecies|예언서
141|Book of Circles|원의 서
142|Vortex Cube|볼텍스 큐브
143|lock picks|자물쇠 따개
144|key|열쇠
145|black pearls|검은 진주
146|blood moss|피 이끼
147|garlic|마늘
148|ginseng roots|인삼 뿌리
149|mandrake roots|만드레이크 뿌리
150|nightshade mushrooms|독버섯
151|spidersilk|거미줄
152|sulfurous ash|유황재
153|moonstone|문스톤
154|ankh amulet|앙크 부적
155|snake amulet|뱀 부적
156|Amulet of Submission|복종의 부적
157|gems|보석
158|staff|지팡이
159|lightning wand|번개 지팡이
160|fire wand|불 지팡이
161|storm cloak|폭풍 망토
162|ring|반지
163|flask of oil|기름통
164|red gate|붉은 문
165|moongate|문게이트
166|gavel|망치
167|Orb of the Moons|달의 오브
168|gold coins|금화
169|gold nuggets|금덩이
170|torches|횃불
171|lit torch|켜진 횃불
172|Zu Ylem|주 일렘
173|silver snake venom|은뱀 독
174|sextant|육분의
175|spinning wheel|물레
176|bunch of grapes|포도 송이
177|butter|버터
178|Gargish vocabulary|가고일어 사전
179|open chest|열린 상자
180|chest|상자
181|locked chest|잠긴 상자
182|magically locked chest|마법으로 잠긴 상자
183|backpack|배낭
184|scythe|낫
185|pitchfork|쇠스랑
186|rake|갈퀴
187|pick|곡괭이
188|shovel|삽
189|hoe|괭이
190|wooden ladder|나무 사다리
191|yoke|멍에
192|oven spatula|오븐 주걱
193|rolling pin|밀대
194|spatula|주걱
195|ladle|국자
196|cooking sheet|조리판
197|cleaver|식칼
198|knife|칼
199|wine|포도주
200|mead|벌꿀술
201|ale|맥주
202|wine glass|와인잔
203|plate|접시
204|mug|머그잔
205|silverware|은식기
206|candle|촛불
207|lit candle|켜진 촛불
208|mirror|거울
209|broken mirror|깨진 거울
210|tunic|튜닉
211|hanger|옷걸이
212|dress|드레스
213|skillet|프라이팬
214|loaf of bread|빵 한 덩이
215|portion of meat|고기
216|rolls|롤빵
217|cake|케이크
218|cheese|치즈
219|ham|햄
220|horse carcass|말 사체
221|horse chops|말고기
222|skewer|꼬치
223|pants|바지
224|plant|식물
225|flowers|꽃
226|wall mount|벽걸이
227|decorative sword|장식 검
228|decorative shield|장식 방패
229|picture|그림
230|tapestry|태피스트리
231|candelabra|촛대
232|person sleeping|잠자는 사람
233|cauldron|가마솥
234|ship deed|배 증서
235|inkwell|잉크병
236|book|책
237|scroll|두루마리
238|panpipes|팬파이프
239|telescope|망원경
240|crystal ball|수정구
241|harpsichord|하프시코드
242|harp|하프
243|lute|류트
244|clock|시계
245|endtable|탁자
246|water vase|꽃병
247|stove|화덕
248|bed|침대
249|fireplace|벽난로
250|stalagmite|석순
251|sack of grain|곡식 자루
