# 누락된 Look 설명 번역 목록
# 형식: NPC번호|영문|한글번역

2|a ruggedly handsome man, wearing a gleaming suit of armor.\n*|<번역 필요>
3|a quiet man, who almost seems to be a creature of the forest.\n*|<번역 필요>
4|your old friend Iolo.\n*|<번역 필요>
5|the noble ruler of Britannia.\n*|<번역 필요>
8|a preoccupied man holding a ledger under one arm.\n*|<번역 필요>
10|a carefree fellow in a ludicrous costume.\n*|<번역 필요>
11|a lively bard with laughter in his eyes.\n*|<번역 필요>
12|a nervous young bard.\n*|<번역 필요>
13|a cute little girl with short hair.\n*|<번역 필요>
24|a sleepy looking young lady.\n*|<번역 필요>
30|a sharply dressed, very voluptuous woman.\n*|<번역 필요>
31|a slender woman wearing a leather glove on her left hand.\n*|<번역 필요>
33|a freckled young lady with an enchanting smile.\n*|<번역 필요>
34|a busy looking man wearing a blue robe.\n*|<번역 필요>
66|a plainly dressed bard.\n*|<번역 필요>
73|a spidery looking man with delicate hands.\n*|<번역 필요>
92|a gentleman of slight build and refined manners.\n*|<번역 필요>
93|an old farmer who looks to have has made his peace with life.\n*|<번역 필요>
94|a stalwart fellow, with a look of placid concentration.\n*|<번역 필요>
110|an amused looking gentleman.\n*|<번역 필요>
123|a heavily scarred man with a look of agony on his face.\n*|<번역 필요>
124|a burly man, who looks a little healthier than the other patients.\n*|<번역 필요>
125|an unconcious man, his face twisted with pain.\n*|<번역 필요>
127|a distinguished looking gentleman.\n*|<번역 필요>
131|a burly barbarian warrior.\n*|<번역 필요>
133|a lively soul of a gypsy, with a bit of a wild look to him.\n*|<번역 필요>
136|a mysterious gypsy woman wearing an ankh pendant.\n*|<번역 필요>
137|a slightly built gypsy lad.\n*|<번역 필요>
139|a handsome, carefree gypsy man.|<번역 필요>
140|a gypsy wench with a voluptuous figure.|<번역 필요>
142|a short, barefooted crazy man.\n*|<번역 필요>
143|a huge male cyclops.|<번역 필요>
144|a huge female cyclops.|<번역 필요>
145|a young human child.|<번역 필요>
146|a quiet, pale, almost motionless gentleman.\n*|<번역 필요>
157|a commanding presence: a tall warrior in black armor.\n*|<번역 필요>
182|a graceful, silver haired woman in robes of blue.\n*|<번역 필요>
184|a skinny, awkward looking man, wearing boots that come up past his knees.\n*|<번역 필요>
186|a handsome warrior.\n*|<번역 필요>
187|a rugged looking lady farmer.\n*|<번역 필요>
201|a strange, glowing ball of energy.\n*|<번역 필요>
