# Ultima 6 Ending Korean Translation
# Format: KEY|KOREAN_TEXT

# === ENDING SEQUENCE ===
END_1|바닥에서 빛나는 관문이 솟아오른다!
END_2|그 진홍빛 심연 속에서 마법사 니스툴을 대동한 로드 브리티시가 나타난다. 왕실 예언자의 얼굴에는 고뇌와 불신이 가득하지만, 로드 브리티시는 그대에게 엄격한 시선을 고정하며 마치 길 잃은 아이를 타이르듯 말한다.
END_3|"그대가 우리의 코덱스를 훔칠 만한 정당한 이유가 있었기를 바라오." 폐하께서 말씀하신다. "하지만 미덕의 이름으로 묻겠소...
END_4|"도대체 그것으로 무슨 짓을 한 것이오?"
END_5|그대는 오목 렌즈를 집어 들어 왕에게 건넨다. "그 책이 진정 우리의 것이었던 적이 있었습니까, 폐하? 그것이 오직 브리타니아만을 위해 쓰였던 것입니까? 그대는 더 이상 코덱스를 소유하지 않지만, 그 지혜가 진정으로 사라졌다고 생각하십니까? 소용돌이 속을 보십시오. 코덱스가 스스로 대답하게 하십시오!"
END_6|로드 브리티시가 벽 앞에 렌즈를 비추자, 소용돌이치는 수많은 별들을 배경으로 궁극의 지혜의 코덱스가 서서히 그 모습을 드러낸다!
END_7|그러나 책은 여전히 닫혀 있다.
END_8|공기 중에 아지랑이가 피어오르며, 또 다른 붉은 관문의 탄생을 알린다!
END_9|가고일의 왕 드락시누솜이 날개 없는 시종들을 거느리고 성큼성큼 다가온다. 로드 브리티시와 마찬가지로 그 또한 초인적인 의지로 분노를 억누르고 있는 듯하다. 그의 비늘 돋은 손이 그대의 어깨를 움켜쥐자, 그대의 굴복의 아뮬렛이 뜨겁게 달아오른다.
END_10|"때가 되었다, 도둑놈아," 그가 말한다.
END_11|그대는 재빨리 손을 뻗어 볼록 렌즈를 움켜쥐고...
END_12|...거대한 가고일 왕의 손에 그것을 쥐여주며 그의 움푹 팬 눈을 응시한다. "나의 주군과 함께 평화를 찾는 일에 동참해주십시오, 간청합니다."
END_13|그대의 간곡한 요청에, 드락시누솜 왕은 마지못해 렌즈를 들어 빛을 모은다. 로드 브리티시 또한 자신의 렌즈를 치켜들자, 방 안의 인간과 가고일 모두의 시선이 벽 위에 빛나는 코덱스의 형상에 고정된다.
END_14|고대의 책이 펼쳐진다. 두 왕은 홀린 듯 침묵 속에 책장을 응시하고, 각자의 언어로 계시된 궁극의 지혜의 웅변이 울려 퍼진다. 그대 또한 코덱스가 주는 해답을 읽을 수 있었다...
END_15|...지혜가 모두 전해지고, 로드 브리티시와 드락시누솜 왕이 더 이상의 증오와 공포 없이 서로를 친구로서 마주했을 때, 그대는 브리타니아에서의 그대의 임무가 마침내 끝났음을 깨닫는다.

# === CONGRATULATIONS ===
END_CONGRATS|축하합니다
END_COMPLETE|그대는 울티마 VI: 거짓 예언자를 완수하였습니다.
END_REPORT|오리진 시스템즈의 로드 브리티시에게 그대의 업적을 보고하십시오!

# === ACKNOWLEDGEMENTS ===
ACK_TITLE|울티마 VI
ACK_SUBTITLE|로드 브리티시 프로덕션
ACK_PRODUCED_BY|제작
ACK_EXEC_PRODUCER|총괄 제작
ACK_PROGRAMMING|프로그래밍
ACK_WRITING|시나리오
ACK_ART|아트
ACK_MUSIC|음악
ACK_QA|품질 보증
ACK_SUPPORT|추가 지원
