# Korean Keyword Mappings
# Format: KOREAN|ENGLISH (first 4 chars)

# Common keywords (always available)
이름|name
일|job
직업|job
안녕|bye
잘가|bye
잘있어|bye
예|yes
네|yes
아니오|no

가게|busi
가고일|garg
가르쳐|teac
가봇|armo
가수|sing
가장자리|edge
가족|fami
가치|wort
갈망|desi
갈비|ribs
감각|sens
감방|cell
감사|grat
감옥|jail
갑옷|armo
강력|powe
강사|inst
강습|less
강한|stro
개|dog
개구쟁이|naug
개미|ants
거미|spid
거지|begg
거짓말|lies
거탄|gert
건초|hay
검|swor
검술|swor
검은|dark
게릭|gher
게임|game
견습생|appr
겸손|humi
겸손한|humb
계좌|acco
고기|meat
고르지오|gorg
고서실|libr
고아|orph
고통|suff
곡물|grai
공간|cham
공급|supp
공동체|comm
공상|dayd
공예가|good
과수원|orch
과정|proc
괴물사냥꾼|mons
관심|inte
관점|pers
광대|jest
교육|inst
교환|exch
구매|buy
구멍|hole
구이|roas
구직|quad
구출|resc
군대|army
귀환|retu
균형|bala
그거|what
그것|that
그들|they
그림|pain
그물|nets
그웨노|gwen
근면|dili
글|read
글렌|glen
금화|gold
기계|mach
기드온|gide
기름|oil
기묘한|quee
기쁨|chee
기사|knig
기사단|orde
길|way
길드|guil
길드장|guil
꺼내|out
꽃|flow
꿀|hone
꿈|drea
끔찍한|hide
끝|tip
끝나기|done
나무|tree
나쁜|evil
나타낸답니다|repr
낙사틸로|naxa
낚시|fish
낚싯대|pole
날|fly
남자|men
낮잠|naps
내보내|go
내쉬|nash
너새니얼|nath
노동|labo
노래|song
노만|noma
농담|jest
농부|farm
눈|eye
눈엣가시|eyes
늦게|late
늦었을|late
니스툴|nyst
니코데무스|nico
닉|nick
단골|patr
단서|clue
달|moon
달콤한|swee
답답한|stuf
당신|you
대고모|aunt
대백과|book
대장장이|blac
대재앙|cata
대화|talk
더치|dutc
더치맨|dutc
던전|dung
덩어리|bloc
데리들러스|dery
데몬|daem
데자나|deza
덴|den
도구|tool
도둑|thie
도로|road
도망|run
도서관|libr
도시|citi
도울|help
도움|help
도전|chal
독감|flu
독방|soli
돈|mone
돌들|ston
돌봅니다|tend
동굴|cave
동쪽|east
두|both
듀이|dewe
듀프레|dupr
드레스|dres
들어갔습니다|ente
들어본|hear
등대|ligh
딜랜시|dela
딱|tock
딸아이|girl
떠나|leav
떠돌이|trav
리케움|lyca
레노라|leno
레오나|leon
레오돈|leod
렌사|rent
렌즈|lens
로켓|lock
롤빵|roll
롱|wron
룬|rune
류트|lute
마니|marn
마님|maam
마르타|mart
마리사|mari
머라이어|mari
마법|magi
마법사|mage
마진시아|magi
만능키|lock
만트라|mant
말|spee
말고기|hors
말굽|hors
마필|hors
말씀|word
망각|obli
망치|hamm
매트|matt
맨드레이크|mand
머물면서|stay
먼|many
메리디스|meri
멧돼지|boar
명상|medi
명예|hono
명장|mast
모노리스|mono
모두|all
모르페우스|morp
모자|hat
모트루드|mort
모티머|mort
모험|ques
모험가|adve
목|neck
목마른|thir
목수|wood
목재|wood
몬데인|mond
묘지|grav
무기|weap
무덤파기|grav
무어헤드|moor
무언가|else
